DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
AWC-NSW Parks Partnership Projects,SPJGI6282668,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:32,18/11/2016 0:32,1,,4,Q,Valid and accepted without modification,,LPJGI0588404,Mallee Cliffs,-34.266195,142.776028,54,663509,6206901,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282669,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:32,18/11/2016 0:32,1,,4,Q,Valid and accepted without modification,,LPJGI0588404,Mallee Cliffs,-34.266195,142.776028,54,663509,6206901,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282670,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:32,18/11/2016 0:32,1,,4,Q,Valid and accepted without modification,,LPJGI0588404,Mallee Cliffs,-34.266195,142.776028,54,663509,6206901,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282678,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:58,18/11/2016 0:58,1,,4,Q,Valid and accepted without modification,,LPJGI0588412,Mallee Cliffs,-34.21335299,142.5563742,54,643374,6213092,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282679,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:58,18/11/2016 0:58,1,,4,Q,Valid and accepted without modification,,LPJGI0588412,Mallee Cliffs,-34.21335299,142.5563742,54,643374,6213092,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282680,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 0:58,18/11/2016 0:58,1,,4,Q,Valid and accepted without modification,,LPJGI0588412,Mallee Cliffs,-34.21335299,142.5563742,54,643374,6213092,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282681,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:12,18/11/2016 1:12,1,,4,Q,Valid and accepted without modification,,LPJGI0588473,Mallee Cliffs,-34.172,142.445,54,633178,6217829,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282682,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:12,18/11/2016 1:12,1,,4,Q,Valid and accepted without modification,,LPJGI0588473,Mallee Cliffs,-34.172,142.445,54,633178,6217829,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282683,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:12,18/11/2016 1:12,1,,4,Q,Valid and accepted without modification,,LPJGI0588473,Mallee Cliffs,-34.172,142.445,54,633178,6217829,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282690,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:45,18/11/2016 1:45,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282691,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:45,18/11/2016 1:45,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282692,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:45,18/11/2016 1:45,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282696,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:59,18/11/2016 1:59,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282697,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:59,18/11/2016 1:59,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282698,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 1:59,18/11/2016 1:59,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282702,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 2:07,18/11/2016 2:07,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282703,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,18/11/2016 2:07,18/11/2016 2:07,1,,4,Q,Valid and accepted without modification,,LPJGI0588367,Mallee Cliffs,-34.129752,142.507976,54,639052,6222430,100,,Standard Site,
