DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
AWC-NSW Parks Partnership Projects,SPJGI6282591,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:34,17/11/2016 20:34,1,,4,Q,Valid and accepted without modification,,LPJGI0588470,Mallee Cliffs,-34.17413391,142.4613544,54,634682,6217571,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282592,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:34,17/11/2016 20:34,1,,4,Q,Valid and accepted without modification,,LPJGI0588470,Mallee Cliffs,-34.17413391,142.4613544,54,634682,6217571,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282593,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:35,17/11/2016 20:35,1,,4,Q,Valid and accepted without modification,,LPJGI0588470,Mallee Cliffs,-34.17413391,142.4613544,54,634682,6217571,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282594,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:36,17/11/2016 20:36,1,,4,Q,Valid and accepted without modification,,LPJGI0588471,Mallee Cliffs,-34.17200914,142.4453831,54,633214,6217828,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282595,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:36,17/11/2016 20:36,1,,4,Q,Valid and accepted without modification,,LPJGI0588471,Mallee Cliffs,-34.17200914,142.4453831,54,633214,6217828,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282596,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 20:36,17/11/2016 20:36,1,,4,Q,Valid and accepted without modification,,LPJGI0588471,Mallee Cliffs,-34.17200914,142.4453831,54,633214,6217828,100,,RoadCam,
AWC-NSW Parks Partnership Projects,SPJGI6282650,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 23:02,17/11/2016 23:02,1,,4,Q,Valid and accepted without modification,,LPJGI0588366,Mallee Cliffs,-34.144478,142.486122,54,637013,6220827,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282651,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 23:02,17/11/2016 23:02,1,,4,Q,Valid and accepted without modification,,LPJGI0588366,Mallee Cliffs,-34.144478,142.486122,54,637013,6220827,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282652,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 23:02,17/11/2016 23:02,1,,4,Q,Valid and accepted without modification,,LPJGI0588366,Mallee Cliffs,-34.144478,142.486122,54,637013,6220827,100,,Standard Site,
AWC-NSW Parks Partnership Projects,SPJGI6282653,1275,Fauna,Mammalia,Macropodidae,3864,Osphranter rufus,,Red Kangaroo,P,,,,17/11/2016 23:07,17/11/2016 23:07,1,,4,Q,Valid and accepted without modification,,LPJGI0588366,Mallee Cliffs,-34.144478,142.486122,54,637013,6220827,100,,Standard Site,
