Data from the BioNet Atlas website, which holds records from a number of custodians. The data are only indicative and cannot be considered a comprehensive inventory, and may contain errors and omissions.
Location accuracy varies. Records of species listed under the Sensitive Species Data Policy are identified in the Sensitivity Class column (^ rounded to 0.1°C; ^^ rounded to 0.01°C).
Copyright the State of NSW through the Department of Planning, Industry and Environment.
Search criteria : Public Report of all  Valid Records of Red Kangaroo (Species: Osphranter rufus) returned a total of 8,500 records of 1 species.Report generated on 24/09/2024 5:00 PM
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
AWC-NSW Parks Partnership Projects	SPJGI6282591	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:34:56	17/11/2016 20:34:56	1		4	Q	Valid and accepted without modification		LPJGI0588470	Mallee Cliffs	-34.174133910	142.461354400	54	634682	6217571	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282592	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:34:58	17/11/2016 20:34:58	1		4	Q	Valid and accepted without modification		LPJGI0588470	Mallee Cliffs	-34.174133910	142.461354400	54	634682	6217571	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282593	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:35:00	17/11/2016 20:35:00	1		4	Q	Valid and accepted without modification		LPJGI0588470	Mallee Cliffs	-34.174133910	142.461354400	54	634682	6217571	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282594	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:36:16	17/11/2016 20:36:16	1		4	Q	Valid and accepted without modification		LPJGI0588471	Mallee Cliffs	-34.172009140	142.445383100	54	633214	6217828	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282595	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:36:18	17/11/2016 20:36:18	1		4	Q	Valid and accepted without modification		LPJGI0588471	Mallee Cliffs	-34.172009140	142.445383100	54	633214	6217828	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282596	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 20:36:18	17/11/2016 20:36:18	1		4	Q	Valid and accepted without modification		LPJGI0588471	Mallee Cliffs	-34.172009140	142.445383100	54	633214	6217828	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282650	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:02:12	17/11/2016 23:02:12	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282651	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:02:14	17/11/2016 23:02:14	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282652	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:02:14	17/11/2016 23:02:14	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282653	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:07:28	17/11/2016 23:07:28	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282654	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:07:30	17/11/2016 23:07:30	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282655	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:07:32	17/11/2016 23:07:32	1		4	Q	Valid and accepted without modification		LPJGI0588366	Mallee Cliffs	-34.144478000	142.486122000	54	637013	6220827	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6282662	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				17/11/2016 23:58:44	17/11/2016 23:58:44	1		4	Q	Valid and accepted without modification		LPJGI0588385	Mallee Cliffs	-34.266629070	142.743319400	54	660496	6206905	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282663	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 00:01:32	18/11/2016 00:01:32	1		4	Q	Valid and accepted without modification		LPJGI0588476	Mallee Cliffs	-34.152007730	142.559481200	54	643764	6219891	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282714	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:22:58	18/11/2016 02:22:58	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282715	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:23:00	18/11/2016 02:23:00	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282716	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:23:00	18/11/2016 02:23:00	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282717	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:34:54	18/11/2016 02:34:54	1		4	Q	Valid and accepted without modification		LPJGI0588385	Mallee Cliffs	-34.266629070	142.743319400	54	660496	6206905	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282718	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:34:56	18/11/2016 02:34:56	1		4	Q	Valid and accepted without modification		LPJGI0588385	Mallee Cliffs	-34.266629070	142.743319400	54	660496	6206905	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282719	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 02:34:58	18/11/2016 02:34:58	1		4	Q	Valid and accepted without modification		LPJGI0588385	Mallee Cliffs	-34.266629070	142.743319400	54	660496	6206905	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282728	1275	Fauna	Mammalia	Macropodidae	3864	Osphranter rufus		Red Kangaroo	P				18/11/2016 03:41:36	18/11/2016 03:41:36	1		4	Q	Valid and accepted without modification		LPJGI0588448	Mallee Cliffs	-34.259021710	142.589122900	54	646312	6207981	100.0000		RoadCam	
